filename,title,date,url,digest
2011-02-23-465af,"Tax Laws Amendment (Temporary Flood Reconsturction Levy) Bill 2011 - Second Reading Speech, Parliament House",2011-02-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7866/Tax-Laws-Amendment-Temporary-Flood-Reconsturction-Levy-Bill-2011--Second-Reading-Speech-Parliament-House.aspx,465afc3097f0c92244ad9ce25c72cd41438b164e
2011-10-26-21b05,"Q&A Session at ClubsNSW Rally, Campbelltown",2011-10-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8411/QA-Session-at-ClubsNSW-Rally-Campbelltown.aspx,21b05b2d3a64c6f685103fdac6bf4f551fd87624
2010-07-19-3d500,"Address to the Australia-Israel Chamber of Commerce, Melbourne",2010-07-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7497/Address-to-the-Australia-Israel-Chamber-of-Commerce-Melbourne.aspx,3d5009f1686a3ac8a2dbbc3b62e93156d1f04672
2011-08-13-ca896,"Address to the WA Liberal Party State Conference, Perth",2011-08-13,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8253/Address-to-the-WA-Liberal-Party-State-Conference-Perth.aspx,ca896c4a79810126ec3c909f270ec3f2b6a1e01d
2011-10-17-7ddbd,"Remarks at Billy Boil Housing Site, Hopevale QLD",2011-10-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8397/Remarks-at-Billy-Boil-Housing-Site-Hopevale-QLD.aspx,7ddbd09337a285042b3cc70fe99282793d855e1f
2010-02-26-b338d,Address to the Menzies Research Centre Policy Roundtable,2010-02-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7278/Address-to-the-Menzies-Research-Centre-Policy-Roundtable.aspx,b338db6e85ed62fb4723aca579fe5bc860083b31
2009-09-07-4a0c5,THE END OF THE DISASTER NARRATIVE AND THE NEW CONSENSUS ON ABORIGINAL AFFAIRS,2009-09-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7102/THE-END-OF-THE-DISASTER-NARRATIVE-AND-THE-NEW-CONSENSUS-ON-ABORIGINAL-AFFAIRS.aspx,4a0c5ce2bc936edb6fcdcc73ebdd19a04d962818
2005-10-19-de888,LAUNCH OF THE MENTAL HEALTH COUNCIL OF AUSTRALIA REPORT,2005-10-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3665/LAUNCH-OF-THE-MENTAL-HEALTH-COUNCIL-OF-AUSTRALIA-REPORT.aspx,de8889d347631c09f4588a67a8400c468f1f5eef
2011-11-26-5fc3b,"Address to NSW Liberal Party State Council Annual General Meeting, Sydney",2011-11-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8476/Address-to-NSW-Liberal-Party-State-Council-Annual-General-Meeting-Sydney.aspx,5fc3b9b2f63ede912a19f38df1b1af635cb1c4dd
1998-12-18-9bd00,NOTES FOR WORK FOR THE DOLE LAUNCH,1998-12-18,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3685/NOTES-FOR-WORK-FOR-THE-DOLE-LAUNCH.aspx,9bd00a403395cd55873b3adf924905a984f00938
2004-08-19-4a336,ABBOTT PRESS CLUB WITH JULIA GILLARD,2004-08-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3666/ABBOTT-PRESS-CLUB-WITH-JULIA-GILLARD.aspx,4a336508ab04836ed9945a15c880a15e821e7048
2005-08-02-867a1,HEALTH INFORMATICS CONFERENCE,2005-08-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3586/HEALTH-INFORMATICS-CONFERENCE.aspx,867a160ae5c13dd37ee3dd3aa164f5b0dd299b8b
1999-07-24-28523,YOUNG AUSTRALIANS AGAINST A REPUBLIC,1999-07-24,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3686/YOUNG-AUSTRALIANS-AGAINST-A-REPUBLIC.aspx,285237d47e0a1a0a6a0bb1beb6ae4642055c5b4f
